genre_primary,budget_band,decade,language_group,vote_average,franchise,actor_success_rate_train,director_success_rate_train,actor_appearances_log1p,director_appearances_log1p,year,success_label
Unknown,Low,2020s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,0
Unknown,Low,2020s,Non-English,3.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,0
Unknown,Low,2020s,Non-English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,0
Unknown,Low,2020s,Non-English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,0
Unknown,Low,2020s,Non-English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,0
Unknown,Low,2020s,Non-English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,0
Unknown,Low,2020s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2022,1
Unknown,Low,2020s,Non-English,5.3,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2022,0
Unknown,Low,2020s,English,5.646,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2021,0
Unknown,Low,2020s,English,7.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2021,0
Unknown,Low,2020s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2021,1
Unknown,Low,2020s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2021,1
Unknown,Low,2020s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2021,1
Unknown,Low,2020s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2021,0
Unknown,Low,2020s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2021,0
Unknown,Low,2020s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2021,1
Unknown,Low,2020s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2021,1
Unknown,Low,2020s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2020,0
Unknown,Low,2020s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2020,1
Unknown,Low,2020s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2020,1
Unknown,Low,2020s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2020,0
Unknown,Low,2020s,Non-English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2020,0
Unknown,Low,2020s,English,5.174,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2020,0
Unknown,Low,2010s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2019,1
Unknown,Low,2010s,Non-English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2019,1
Unknown,Mid,2010s,English,7.131,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2019,1
Unknown,Low,2010s,English,7.105,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2019,0
Unknown,Low,2010s,Non-English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2018,1
Unknown,Low,2010s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2018,1
Unknown,Low,2010s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2018,0
Unknown,Low,2010s,English,2.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2018,0
Unknown,Low,2010s,Non-English,6.588,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2018,0
Unknown,Low,2010s,English,6.34,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2018,1
Unknown,Low,2010s,English,6.4,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2018,0
Unknown,Low,2010s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2018,1
Unknown,High,2010s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2017,1
Unknown,Low,2010s,English,5.7,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2017,0
Unknown,Low,2010s,Non-English,6.429,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2016,1
Unknown,Low,2010s,English,6.045,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2016,0
Unknown,Low,2010s,English,6.996,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2016,1
Unknown,Low,2010s,English,6.427,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2016,0
Unknown,Low,2010s,English,6.8,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2016,1
Unknown,Low,2010s,English,6.212,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2016,0
Unknown,Low,2010s,English,6.727,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2016,0
Unknown,Low,2010s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2016,0
Unknown,Low,2010s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2016,0
Unknown,High,2010s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2016,1
Unknown,Low,2010s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2015,1
Unknown,Low,2010s,Non-English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2015,0
Unknown,Low,2010s,Non-English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2015,1
Unknown,Low,2010s,Non-English,5.6,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2015,0
Unknown,Low,2010s,English,6.589,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2015,1
Unknown,Low,2010s,English,5.7,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2015,0
Unknown,Low,2010s,English,7.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2015,1
Unknown,Low,2010s,English,6.792,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2015,0
Unknown,Low,2020s,English,7.227,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,1
Unknown,Low,2020s,English,6.93,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,0
Unknown,Low,2020s,English,5.643,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,1
Unknown,Low,2020s,English,7.112,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,1
Unknown,Low,2020s,English,6.66,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,0
Unknown,Low,2020s,English,6.853,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,0
Unknown,Low,2020s,English,5.5,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,0
Unknown,Low,2020s,English,7.1,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,0
Unknown,Low,2020s,Non-English,6.596,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,0
Unknown,Low,2020s,Non-English,6.921,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,0
Unknown,Low,2020s,English,5.811,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,0
Unknown,Low,2020s,English,7.2,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,0
Unknown,Mid,2020s,English,5.912,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,0
Unknown,Low,2020s,Non-English,6.6,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,0
Unknown,Low,2020s,English,10.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,1
Unknown,Low,2020s,English,6.786,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,0
Unknown,Low,2020s,Non-English,6.295,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,0
Unknown,Low,2020s,Non-English,5.681,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,0
Unknown,Low,2020s,Non-English,6.2,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,0
Unknown,Low,2020s,English,6.797,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,0
Unknown,Low,2020s,Non-English,6.121,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,0
Unknown,Low,2020s,English,7.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,0
Unknown,Low,2020s,English,6.933,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,1
Unknown,Low,2020s,English,6.759,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,0
Unknown,Low,2020s,Non-English,5.7,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,0
Unknown,Low,2020s,Non-English,5.7,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2024,0
